reviews
" Great show, horrible VIPs
"
" The VIP's are dumb & ridiculous.
"
" Loved it, but...
"
" Yes, the VIPs sucked, but that didn't ruin the series
"
" Atrocious translation
"
" Definitely one of the most well-made Netflix shows by Korea
"
" Best description? Uncomfortably genius! And quite disturbing!
"
" A realistic version of Alice in Borderland
"
" Hollywood is done
"
" Terrible Subtitle
"
" Bingeworthy
"
" The squid financial game
"
" Parasite + Alice in Borderland
"
" Korean Black Mirror
"
" Fun with some disappointing bits (SPOILERS)
"
" Great show but wow the acting gets bad in episode 7
"
" mindblowing
"
" I Really hope there's a second season and a third
"
" It was good...for a while
"
" Spine chilling game
"
" BINGE WORTHY
"
" INTERESTING and Got Me Hooked
"
" I really love it
"
" Great show!!
"
" A diamond in the rough from Korea.
"
" Fantastic.
"
" It could have been a solid 8.
"
" Gi-Hun is played by Lee Jung-Jae
"
" Great start but dissapointed ending
"
" Enjoyable and addictive but.....!
"
" Extremely good dark action thriller except for one major flaw.
"
" A Million Squid Says You Love It
"
" Poor Choices
"
" Original and creative.
"
" An Excellent New Korean Series Concept Viewers Enjoy - Highly Recommended
"
" Plot-Driven, Action-Packed. Ultimately Shallow
"
" Love it
"
" For those who didn't understand **
"
" bit overrated
"
" WOW JUST WOW!!
"
" Overall a great show!
"
" Parasite meets hunger games
"
" Gripping
"
" Amazing!
"
" Keeps you on edge of seat
"
" Unbelievable!
"
" Brilliant
"
" Squid game
"
" SAE BYEOK... I WILL NEVER GET OVER
"
" Very good over all but weak final episode
"
" Yes, like it!
"
" Cant miss premise that was lost in translation
"
" Hollow Pop Art
"
" Had me hooked from the start!
"
" The film didn't make me disappointed
"
" An interesting premise that's expertly crafted all around
"
" Made me cry
"
" Engaging and Original
"
" 20/10
"
" GGANBU WOW
"
" Promosinf at the beginning, disappointing at the end.
"
" Entertaining but slow and poor plot
"
" Great set design, but not much else
"
" Solid, but nothing more...
"
" Trash through and through
"
" Incredible. Do not listen to the VIP reviews - Read Below.
"
" The ending is rubbish
"
" Glossy Fare For Torture Aficionados
"
" Great potential ruined by overacting
"
" The best Korean show I've seen
"
" Best capture of humanist heart!
"
" Great show
"
" Very interesting idea, decent execution.
"
" Koreans don't disappoint!
"
" Just bad
"
" Hidden Gem
"
" Movie Premyy Honest Review
"
" Beautifully made
"
" Great Show!
"
" Absolute Masterpiece
"
" Meh. Pretty much the same thing over and over.
"
" Extremly pointless waste of korean time
"
" Meh ...
"
" Genius made show
"
" Starts off strong then gets pretty weak at the end.
"
" Smart and intriguing.
"
" Show Adds Morals and Is Captivating
"
" Korea does it again
"
" Korea have outdone themselves; masterpiece
"
" artistic storytelling, visual masterpiece
"
" WOW! Get Me Hooked
"
" What does Success mean to you
"
" ""Hell"" that you will ""love""
"
" a story about trust and relationship
"
" Well written..
"
" Captivating
"
" Good but predictable
"
" Intelligent, Thoughtful, Violent & Interesting
"
" It's worth a watch
"
" The movie that make me curious
"
" Got me crying.
"
" Battle Royale meets The Hunger Games
"
" Masterpiece // VIP's are irrelevant
"
" What Hollywood forgot
"
" Bring on the darkness
"
" A more adult Alice in Borderland.
"
" BEST KDRAMA OF 2021
"
" WHY? WHY PEOPLE LOVING THIS!!!!
"
" Good idea, but sooooo slow and predicatable
"
" Not Bad but Not Great Either
"
" An exciting show
"
" Bingeable
"
" Nonsense series
"
" Way too good
"
" An absolutely riveting show but a difficult one to watch
"
" Mind Blowing
"
" Masterpiece!!
"
" Money and the human incentive
"
" RECOMMENDED!
"
" Quality Drama
"
" Blown Away with Jaw Dropping Moments!
"
" A great thriller series
"
" One of the best series in a long time
"
" How can this be a 15?
"
" It's great!
"
" Best Korean Netflix drama after Kingdom
"
" Decent Korean show
"
" Recommended
"
" Immoral
"
" Could have been an 8 or 9
"
" REALLY GOOD SHOW!!!!
"
" 10 thumbs down
"
" Trash Series. Predictable, boring, bad acting
"
" Big budget window dressing
"
" Only the first EP is good after that it started raining ""Plot holes""
"
" Amazing!! Korean tv shows are the future
"
" Not for the faint of heart!
"
" Worth sticking with.
"
" The worst among this genre I would say
"
" All that for a trope we've seen over and over again
"
" One of the best recent Netflix shows (switch the Korean audio)
"
" **MINDBLOWING**
"
" Excelent
"
" Full of holes
"
" Interesting story but no suspense and easy to predict what next
"
" A few holes
"
" Horrifying and fantastic
"
" Very Fun a great Binge
"
" One of the best shows to recently come out
"
" An outstanding series that captures the best features of its contemporaries
"
" A BLOODY STORY THAT ISN'T FOR EVERYONE
"
" Most amazing tv series ever made
"
" Masterpiece
"
" The story is intriguing, the dubbing is very poor
"
" What a gem!
"
" Really Dissimilar Concept show
"
" Masterpieces!?
"
" Most Unexpected TV Show!
"
" All You Need Is Episode 1 ....
"
" Hard harsh Horrific great movie
"
" Awesome!
"
" Great Show!
"
" Wow
"
" My first korean drama and damn it's good as hell.
"
" i mean woooh
"
" Excellent
"
